REPORTED DATE :	12/11/2020	Page 1	Composite Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakan 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MEWH180	FG-WHITE	PD63000027	FC63-000028	FARREL2	21HM500-1	SO63000010	10,300.000	10,300.000	10,250.000	50.000	0.350	0.485	Fail	-1.994	-10,260.668	1,747.346	0.000	-8,513.322	20/1/2020	23/1/2020	1	4	15
MEWH180	FG-WHITE	PD63000028	FC63-000029	FARREL2	21HM500-1	SO63000010	10,300.000	10,300.000	10,250.000	50.000	0.350	0.485	Fail	-1.994	-10,260.698	1,747.346	0.000	-8,513.352	20/1/2020	23/1/2020	1	4	15
MEWH180	FG-WHITE	PD63000029	FC63-000030	FARREL2	21HM500-1	SO63000010	10,300.000	10,300.000	10,250.000	50.000	0.350	0.485	Fail	-2.048	-10,523.259	1,777.700	0.000	-8,745.559	20/1/2020	24/1/2020	2	5	16
MEWH180	FG-WHITE	PD63000030	FC63-000031	FARREL2	21HM500-1	SO63000010	10,300.000	10,300.000	10,250.000	50.000	0.350	0.485	Fail	-2.048	-10,523.259	1,777.700	0.000	-8,745.559	20/1/2020	24/1/2020	1	5	16
MEWH180	FG-WHITE	PD63000031	FC63-000032	FARREL2	21HM500-1	SO63000010	10,300.000	10,300.000	10,250.000	50.000	0.350	0.485	Fail	-1.917	-9,998.555	1,813.459	0.000	-8,185.096	20/1/2020	24/1/2020	1	5	16
MEWH180	FG-WHITE	PD63000032	FC63-000033	FARREL2	21HM500-1	SO63000011	10,300.000	10,300.000	10,250.000	50.000	0.350	0.485	Fail	-1.917	-9,998.565	1,813.459	0.000	-8,185.106	20/1/2020	24/1/2020	1	5	16
MEWH180	FG-WHITE	PD63000033	FC63-000034	FARREL2	21HM500-1	SO63000011	10,300.000	10,300.000	10,275.000	25.000	0.350	0.243	Pass	-1.932	-9,149.912	880.245	0.000	-8,269.667	21/1/2020	25/1/2020	1	5	17
REPORTED DATE :	12/11/2020	Page 2	Composite Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakan 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
