REPORTED DATE :	12/11/2020	Page 1	SALEE COLOUR PUBLIC CO.,LTD.	 858 Moo 2, Soi 1C/1 Bangpu Industrial Estate, Bangpumai,  Muang Samutprakarn, Samutprakarn 10280, Thailand.
Tel : (66)0-2323-2601-8  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MPOR21447	FG-COLOUR	PD62004096	FS62-006824	TWIN-L	Packer_1	SO62008216	202.200	202.200	202.000	0.200	2.100	0.099	Pass	2.021	0.000	0.000	844.269	844.269	8/1/2020	9/1/2020	1	2	21
MPOR21447-1	TEST	PD62004095	FS62-006823	TWIN-L	21HM200-1	SO62008216	205.000	205.000	202.200	2.800	2.100	1.366	Pass	-13.963	-5,836.121	-65.346	0.000	-5,901.467	24/12/2019	8/1/2020	1	16	20
MPPK21455	FG-COLOUR	PD63000078	FS63-000127	TWIN-L	Packer_1	SO63000074	26.500	26.500	26.500	0.000	3.100	0.000	Pass	3.135	0.000	0.000	118.902	118.902	17/1/2020	24/1/2020	5	8	18
MPPK21455-1	TEST	PD63000077	FS63-000126	TWIN-L	21HM75-1	SO63000074	27.000	27.539	26.500	1.039	3.100	3.773	Fail	97.977	3,313.705	402.298	0.000	3,716.003	7/1/2020	17/1/2020	2	11	11
MPPK8928	FG-COLOUR	PD63000211	FS63-000357	TWIN-L	21HM75-1	SO63000315	26.500	28.589	27.200	1.389	3.100	4.859	Fail	65.136	3,923.499	451.297	405.607	4,780.403	15/1/2020	27/1/2020	1	13	14
MPRD12765	FG-COLOUR	PD63000131	FS63-000260	TWIN-L	21HM75-1	SO63000248	25.300	26.183	25.500	0.683	3.100	2.609	Pass	134.674	3,378.061	-270.557	1,325.101	4,432.605	13/1/2020	23/1/2020	2	11	11
MPRD19152	FG-COLOUR	PD63000261	FS63-000471	TWIN-L	21HM200-2	SO63000440	50.000	52.461	51.000	1.461	3.100	2.785	Pass	28.448	-378.983	1,004.816	1,837.380	2,463.213	21/1/2020	29/1/2020	1	9	9
MPSV18068	FG-COLOUR	PD62004067	FS62-006776	TWIN-L	21HM200-1	SO62008158	610.100	610.100	606.700	3.400	1.000	0.557	Pass	-38.270	-17,373.973	-1,515.024	-14,564.283	-33,453.280	24/12/2019	7/1/2020	1	15	21
MPWH13012	FG-WHITE	PD63000097	FS63-000154	TWIN-L	21HM200-4	SO63000109	1,010.000	1,030.412	1,014.900	15.512	1.000	1.505	Fail	1.314	-1,087.252	1,468.736	1,142.312	1,523.796	8/1/2020	24/1/2020	3	17	17
MPWH13277	FG-COL-WH	PD63000107	FS63-000202	TWIN-L	21HM200-4	SO63000162	509.300	509.300	503.300	6.000	2.100	1.178	Pass	-15.317	-10,855.703	-2,166.387	2,241.805	-10,780.285	9/1/2020	15/1/2020	2	7	7
MPYE19279	FG-COLOUR	PD63000295	FS63-000524	TWIN-L	21HM75-1	SO63000500	27.201	27.201	27.000	0.201	3.100	0.739	Pass	91.774	2,789.519	239.018	295.089	3,323.626	23/1/2020	29/1/2020	2	7	7
MSBR10735	FG-COLOUR	PD63000118	FS63-000241	TWIN-L	21HM200-3	SO63000226	302.800	302.801	299.100	3.701	2.100	1.222	Pass	-30.186	-10,865.450	-1,179.965	1,179.426	-10,865.989	13/1/2020	16/1/2020	2	4	7
MSBR10735	FG-COLOUR	PD63000214	FS63-000361	TWIN-L	21HM200-2	SO63000304	200.000	206.086	200.900	5.186	2.100	2.516	Fail	-10.912	-2,891.666	253.261	0.000	-2,638.405	16/1/2020	25/1/2020	1	10	11
MSBR18843	FG-COLOUR	PD63000215	FS63-000362	TWIN-L	21HM75-1	SO63000290	27.000	26.999	26.600	0.399	3.100	1.478	Pass	46.280	1,272.536	-405.204	830.253	1,697.585	15/1/2020	25/1/2020	2	11	11
MSBR20957	FG-COLOUR	PD63000115	FS63-000214	TWIN-L	21HM200-1	SO63000156	1,010.200	1,010.200	1,001.800	8.400	1.000	0.832	Pass	-29.877	-34,910.898	-2,536.104	273.241	-37,173.761	15/1/2020	23/1/2020	2	9	14
MSBR21430	FG-COLOUR	PD62004083	FS62-006800	TWIN-L	Packer_1	SO62008172	77.000	77.000	77.000	0.000	2.100	0.000	Pass	3.800	0.000	0.000	499.613	499.613	17/1/2020	24/1/2020	5	8	37
MSBR21430-1	TEST	PD62004082	FS62-006799	TWIN-L	21HM200-2	SO62008172	78.000	79.828	77.000	2.828	2.100	3.543	Fail	-2.414	-1,017.603	693.857	0.000	-323.746	25/12/2019	17/1/2020	1	24	30
MSWH15458	FG-COL-WH	PD62003999	FS62-006660	TE75	21HM200-4	SO62008008	4,319.900	4,219.900	4,176.000	43.900	0.500	1.040	Fail	-1.279	-7,037.019	1,774.438	1,428.214	-3,834.367	6/1/2020	18/1/2020	2	13	38
MSWH21407	FG-COLOUR	PD63000251	FS63-000430	TWIN-L	21HM200-4	SO63000407	505.000	505.001	501.000	4.001	2.100	0.792	Pass	-32.697	-17,290.343	-1,633.326	0.000	-18,923.669	20/1/2020	28/1/2020	1	9	9
MSWH21429	FG-COLOUR	PD62004081	FS62-006798	TWIN-L	Packer_1	SO62008172	101.300	101.300	101.100	0.200	2.100	0.197	Pass	2.119	0.000	0.000	262.300	262.300	7/1/2020	8/1/2020	1	2	21
MSWH21429-1	TEST	PD62004075	FS62-006789	TWIN-L	21HM200-4	SO62008172	105.000	105.000	101.300	3.700	2.100	3.524	Fail	8.978	718.524	395.001	0.000	1,113.525	24/12/2019	7/1/2020	2	15	20
MSYE21477	FG-COLOUR	PD63000216	FS63-000363	TWIN-L	Packer_1	SO63000301	15.400	15.400	15.400	0.000	3.100	0.000	Pass	4.612	0.000	0.000	138.152	138.152	24/1/2020	27/1/2020	3	4	13
MSYE21477-1	TEST	PD63000222	FS63-000392	TWIN-L	21HM75-1	SO63000329	16.000	16.000	15.400	0.600	3.100	3.750	Fail	72.085	1,862.063	311.312	0.000	2,173.375	16/1/2020	27/1/2020	4	12	12
MTBK19960	FG-BLACK	PD62004088	FS62-006806	TWIN-L	21HM200-1	SO62008194	1,067.063	1,067.063	1,056.000	11.063	1.000	1.037	Fail	-5.294	-12,753.038	-6,285.199	11,370.375	-7,667.862	6/1/2020	15/1/2020	3	10	28
