Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MTBL19561	FG-COLOUR	PD63000141	FS63-000272	TWIN-L	21HM75-1	SO63000258	25.7	25.7	24.8	0.9	3.1	3.502	Fail	27.898	660.030	8.170	217.670	885.870	13/1/2020	22/1/2020	2	10	10
MTBL19298	FG-COLOUR	PD63000142	FS63-000273	TWIN-L	21HM75-1	SO63000258	25.7	25.7	25.2	0.5	3.1	1.946	Pass	40.029	891.750	130.790	207.250	1229.790	13/1/2020	22/1/2020	2	10	10
MTBL15130	FG-COLOUR	PD63000144	FS63-000275	TWIN-L	21HM75-1	SO63000257	25	25	24.3	0.7	3.1	2.8	Pass	26.687	549.410	144.080	0.000	693.490	13/1/2020	22/1/2020	2	10	10
MEBL20098	FG-COLOUR	PD63000188	FS63-000324	TWIN-L	21HM75-1	SO63000297	27.701	27.701	27.3	0.401	3.1	1.448	Pass	113.652	2775.890	151.550	406.620	3334.060	14/1/2020	22/1/2020	2	9	9
MEBL20010	FG-COLOUR	PD63000192	FS63-000328	TWIN-L	21HM75-1	SO63000297	27.7	27.7	27.2	0.5	3.1	1.805	Pass	49.739	1263.840	114.080	106.850	1484.770	14/1/2020	22/1/2020	2	9	9
MEGN17628	FG-COLOUR	PD63000199	FS63-000342	TWIN-L	21TM500-1	SO63000309	485.901	544.311	542.1	2.211	2.1	0.406	Pass	-10.621	-7639.600	-3347.390	3202.600	-7784.390	14/1/2020	22/1/2020	1	9	9
MOGY20813	FG-COLOUR	PD62003933	FS62-006556	TWIN-L	21HM200-3	SO62007854	105	105	103.1	1.9	2.1	1.81	Pass	0.407	-137.420	203.680	0.000	66.260	16/1/2020	23/1/2020	2	8	50
MVGN13125	FG-COLOUR	PD63000025	FS63-000027	TWIN-L	21HM200-1	SO63000010	205.2	231.9	225.6	6.3	2.1	2.717	Fail	72.758	15261.430	1926.830	3267.840	20456.100	9/1/2020	23/1/2020	2	15	18
SRHDP18	SRM	PD63000109	FS63-000205	OT	25MF600-1	Manual	"5,250.00"	"5,250.00"	"5,250.00"	0	0.5	0	Pass	-1.253	-2838.580	1002.160	0.000	-1836.420	13/1/2020	23/1/2020	3	11	15
MSBR20957	FG-COLOUR	PD63000115	FS63-000214	TWIN-L	21HM200-1	SO63000156	"1,010.20"	"1,010.20"	"1,001.80"	8.4	1	0.832	Pass	-29.877	-34910.900	-2536.100	273.240	-37173.760	15/1/2020	23/1/2020	2	9	14
SE40RD06A	SCOL	PD63000125	FS63-000251	TWIN-L	21HM200-2	Manual	100.458	100.457	97.3	3.157	2.1	3.143	Fail	13.348	3179.830	1324.780	0.000	4504.610	13/1/2020	23/1/2020	2	11	11
MPRD12765	FG-COLOUR	PD63000131	FS63-000260	TWIN-L	21HM75-1	SO63000248	25.3	26.183	25.5	0.683	3.1	2.609	Pass	134.673	3378.060	-270.560	1325.100	4432.600	13/1/2020	23/1/2020	2	11	11
MTBL20806	FG-COLOUR	PD63000138	FS63-000269	TWIN-L	21HM200-3	SO63000258	50.4	50.4	48.5	1.9	3.1	3.77	Fail	51.257	4279.430	625.310	39.470	4944.210	13/1/2020	23/1/2020	2	11	11
MTOR14873	FG-COLOUR	PD63000139	FS63-000270	TWIN-L	21HM75-1	SO63000258	25.2	25.2	24.4	0.8	3.1	3.175	Fail	42.853	1565.920	-156.770	621.430	2030.580	13/1/2020	23/1/2020	3	11	11
MTBL10364	FG-COLOUR	PD63000143	FS63-000274	TWIN-L	21HM200-3	SO63000258	50.2	50.2	49.3	0.9	3.1	1.793	Pass	38.2	1475.110	80.540	271.920	1827.570	13/1/2020	23/1/2020	2	11	11
MTBK21452	FG-BLACK	PD63000160	FS63-000296	TWIN-L	21HM200-3	SO63000277	510	510	492.5	17.5	2.1	3.431	Fail	69.093	22158.000	3193.600	0.000	25351.600	14/1/2020	23/1/2020	3	10	11
APAB14040	TRADE-AD	PD63000194	FS63-000336	TWIN-L	21HM200-4	SO63000311	"1,010.50"	"1,010.50"	998.5	12	1	1.188	Fail	265.101	208545.190	57077.800	553.060	266176.050	14/1/2020	23/1/2020	2	10	10
MTWH61	FG-WHITE	PD62004078	FS62-006793	TWIN-L	21HM200-5	SO62008180	"1,010.00"	"1,010.00"	"1,000.00"	10	1	0.99	Pass	-19.692	-17467.170	-948.380	0.000	-18415.550	24/12/2019	24/1/2020	2	32	37
MSBR21430	FG-COLOUR	PD62004083	FS62-006800	TWIN-L	Packer_1	SO62008172	77	77	77	0	2.1	0	Pass	3.799	0.000	0.000	499.610	499.610	17/1/2020	24/1/2020	5	8	37
MEGN12704	FG-COLOUR	PD62004104	FS62-006836	TWIN-L	21HM200-2	SO62008243	506.2	653.957	639.9	14.057	2.1	2.15	Fail	94.165	49020.310	5984.460	10449.710	65454.480	23/12/2019	24/1/2020	3	33	33
MPGN21219	FG-COLOUR	PD62004105	FS62-006837	TWIN-L	21HM200-4	SO62008244	391.097	456.135	448	8.135	2.1	1.783	Pass	26.115	-5392.520	-2698.770	21368.960	13277.670	23/12/2019	24/1/2020	3	33	33
MEWH17578	FG-COL-WH	PD63000042	FS63-000067	TE75	21HM200-4	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	0.877	299.550	1797.420	-75.750	2021.220	16/1/2020	24/1/2020	3	9	19
MEWH17578	FG-COL-WH	PD63000043	FS63-000068	TE75	21HM200-5	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	-0.668	-2585.070	1121.570	-75.750	-1539.250	20/1/2020	24/1/2020	2	5	19
MEWH17578	FG-COL-WH	PD63000044	FS63-000069	TE75	21HM200-5	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	0.165	-1011.030	1466.860	-75.750	380.080	21/1/2020	24/1/2020	2	4	19
CPTC21189	TRADE-FL	PD63000054	FS63-000079	TWIN-L	21TM500-2	SO63000030	"5,500.00"	"5,519.30"	"5,496.00"	23.3	0.5	0.422	Pass	-64.266	-149366.250	-24097.110	-94987.920	-268451.280	21/1/2020	24/1/2020	2	4	18
MPPK21455	FG-COLOUR	PD63000078	FS63-000127	TWIN-L	Packer_1	SO63000074	26.5	26.5	26.5	0	3.1	0	Pass	3.135	0.000	0.000	118.900	118.900	17/1/2020	24/1/2020	5	8	18
MPWH13012	FG-WHITE	PD63000097	FS63-000154	TWIN-L	21HM200-4	SO63000109	"1,010.00"	"1,030.41"	"1,014.90"	15.512	1	1.505	Fail	1.314	-1087.250	1468.740	1142.310	1523.800	8/1/2020	24/1/2020	3	17	17
MEBL17836	FG-COLOUR	PD63000101	FS63-000161	TWIN-L	21HM200-2	SO63000137	711.9	734.366	725	9.366	1	1.275	Fail	-13.859	-19710.060	-3251.210	7173.910	-15787.360	13/1/2020	24/1/2020	2	12	16
MEOR15444	FG-COLOUR	PD63000113	FS63-000212	TWIN-L	21HM200-2	SO63000181	51.3	52.81	51	1.81	3.1	3.427	Fail	37.789	955.020	-2397.190	5264.410	3822.240	16/1/2020	24/1/2020	2	9	16
MTGY13671	FG-COLOUR	PD63000137	FS63-000268	TWIN-L	21HM75-1	SO63000258	25.8	26.644	25.3	1.344	3.1	5.044	Fail	129.289	2892.330	18.120	911.340	3821.790	13/1/2020	24/1/2020	2	12	12
MEYE21263	FG-COLOUR	PD63000151	FS63-000286	TWIN-L	21HM200-2	SO63000268	100	105.173	101.8	3.373	2.1	3.207	Fail	8.722	387.000	223.840	416.010	1026.850	16/1/2020	24/1/2020	3	9	12
MERD2512	FG-COLOUR	PD63000181	FS63-000317	TWIN-L	21HM75-1	SO63000285	27	27	26.3	0.7	3.1	2.593	Pass	105.514	5574.160	1108.110	-28.840	6653.430	15/1/2020	24/1/2020	3	10	11
MEOR15444	FG-COLOUR	PD63000220	FS63-000378	TWIN-L	21HM200-3	SO63000341	27	27.813	27.5	0.313	3.1	1.125	Pass	35.079	984.520	304.660	624.020	1913.200	16/1/2020	24/1/2020	2	9	10
SPXBL19917	SCO	PD63000233	FS63-000405	OT	21HM10-1	Manual	3.4	3.8	3.6	0.2	3.1	5.263	Fail	28.144	116.200	-7.410	70.960	179.750	16/1/2020	24/1/2020	2	9	9
SPXBL20112	SCO	PD63000234	FS63-000406	OT	21HM10-1	Manual	4.2	4.2	4	0.2	3.1	4.762	Fail	16.914	105.880	-199.880	290.630	196.630	16/1/2020	24/1/2020	2	9	9
MEBL19479	FG-COLOUR	PD63000235	FS63-000407	TWIN-L	21TM500-1	SO63000377	505	505.802	504.5	1.302	2.1	0.257	Pass	-1.85	-756.950	-328.700	85.720	-999.930	17/1/2020	24/1/2020	2	8	9
MERD21019	FG-COLOUR	PD63000246	FS63-000418	TWIN-L	21HM75-1	SO63000386	25	25	25	0	3.1	0	Pass	10.544	350.230	42.290	-2.840	389.680	17/1/2020	24/1/2020	2	8	8
MTBR17939	FG-COLOUR	PD63000259	FS63-000469	TWIN-L	Packer_1	SO63000437	25	25	25	0	3.1	0	Pass	2.921	0.000	0.000	118.900	118.900	21/1/2020	24/1/2020	2	4	4
MTBR17939	FG-COLOUR	PD63000260	FS63-000470	TWIN-S	Packer_1	SO63000437	103.5	103.5	103.2	0.3	2.1	0.29	Pass	1.766	0.000	0.000	284.670	284.670	21/1/2020	24/1/2020	2	4	4
MEYE17117	FG-COLOUR	PD63000265	FS63-000476	TWIN-L	21HM200-2	SO63000443	25	25	25	0	3.1	0	Pass	-0.727	-35.610	7.190	-2.370	-30.790	21/1/2020	24/1/2020	2	4	4
MTWH61	FG-WHITE	PD62004079	FS62-006794	TWIN-L	21HM200-5	SO62008180	"1,010.00"	"1,010.00"	957.3	52.7	1	5.218	Fail	-17.011	-16711.830	1482.930	0.000	-15228.900	24/12/2019	25/1/2020	1	33	38
MTBR14046	FG-COLOUR	PD63000033	FS63-000058	TWIN-L	21HM200-1	SO63000027	"1,010.00"	"1,010.00"	"1,006.40"	3.6	1	0.356	Pass	-19.283	-30648.750	-3677.500	-25754.440	-60080.690	14/1/2020	25/1/2020	1	12	20
MEWH17578	FG-COL-WH	PD63000045	FS63-000070	TE75	21HM200-5	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	-2.281	-6007.220	827.470	-75.750	-5255.500	23/1/2020	25/1/2020	1	3	20
CPTC21189	TRADE-FL	PD63000057	FS63-000086	TWIN-L	21HM200-2	SO63000044	675	675	675	0	1	0	Pass	-83.381	-32217.320	-3201.810	-7357.740	-42776.870	7/1/2020	25/1/2020	4	19	19
GENA21159	FG-GD-SER	PD63000067	FS63-000098	OT	25PM500-1	SO63000032	"7,500.00"	"7,500.00"	"7,500.00"	0	0.5	0	Pass	27.262	1296.710	1128.620	75.000	2500.330	16/1/2020	25/1/2020	2	10	19
MPGN21456-1	TEST	PD63000082	FS63-000131	TWIN-L	21HM75-1	SO63000074	27	31.517	28.9	2.617	3.1	8.303	Fail	120.787	6401.350	1188.030	0.000	7589.380	7/1/2020	25/1/2020	2	19	19
MPGN18106	FG-COLOUR	PD63000086	FS63-000135	TWIN-L	21HM75-1	SO63000083	27.5	34.717	32.5	2.217	3.1	6.386	Fail	389.46	9970.710	1086.620	1170.130	12227.460	8/1/2020	25/1/2020	3	18	19
MEBR21414	FG-COLOUR	PD63000106	FS63-000197	TWIN-L	21HM75-1	SO63000154	26.4	26.4	26	0.4	3.1	1.515	Pass	53.936	3339.730	147.410	386.740	3873.880	15/1/2020	25/1/2020	3	11	17
PXGN20916	FG-PM	PD63000121	FS63-000244	OT	21HM75-1	SO63000209	12	12.641	12.1	0.541	3.1	4.28	Fail	18.164	316.570	202.270	5.860	524.700	10/1/2020	25/1/2020	2	16	16
AELM17833	FG-AD	PD63000134	FS63-000265	TWIN-L	21HM200-1	SO63000255	"1,013.00"	"1,013.00"	"1,010.00"	3	1	0.296	Pass	28.934	-35828.130	138529.100	-34610.590	68090.380	20/1/2020	25/1/2020	1	6	13
AEOA20440	FG-AD	PD63000154	FS63-000291	TWIN-L	21HM200-4	SO63000216	64.3	64.3	64.1	0.2	2.1	0.311	Pass	31.922	2202.190	-1214.580	2291.930	3279.540	22/1/2020	25/1/2020	1	4	13
MEBR11754	FG-COLOUR	PD63000156	FS63-000293	TWIN-L	Packer_1	SO63000272	"1,000.00"	"1,000.00"	"1,000.00"	0	1	0	Pass	0.802	0.000	0.000	1078.550	1078.550	24/1/2020	25/1/2020	2	2	13
MEBR11754	FG-COLOUR	PD63000157	FS63-000294	TWIN-L	Packer_1	SO63000272	"1,000.00"	"1,000.00"	"1,000.00"	0	1	0	Pass	0.802	0.000	0.000	1078.550	1078.550	24/1/2020	25/1/2020	2	2	13
MEPK20103	FG-COLOUR	PD63000186	FS63-000322	TWIN-L	21HM75-1	SO63000297	27	30.801	30	0.801	3.1	2.601	Pass	51.158	3516.220	417.180	0.000	3933.400	14/1/2020	25/1/2020	2	12	12
MAWH6163	FG-COL-WH	PD63000193	FS63-000334	TWIN-L	21HM200-4	SO63000312	52	52	50.9	1.1	3.1	2.115	Pass	69.22	4037.530	458.810	0.000	4496.340	16/1/2020	25/1/2020	2	10	12
SRPPHP25	SRM	PD63000204	FS63-000350	OT	25PM500-2	Manual	"1,300.00"	"1,300.00"	"1,300.00"	0	1	0	Pass	-1.99	-1147.450	132.780	0.000	-1014.670	20/1/2020	25/1/2020	1	6	12
MSBR10735	FG-COLOUR	PD63000214	FS63-000361	TWIN-L	21HM200-2	SO63000304	200	206.086	200.9	5.186	2.1	2.516	Fail	-10.912	-2891.670	253.260	0.000	-2638.410	16/1/2020	25/1/2020	1	10	11
MSBR18843	FG-COLOUR	PD63000215	FS63-000362	TWIN-L	21HM75-1	SO63000290	27	26.999	26.6	0.399	3.1	1.478	Pass	46.28	1272.540	-405.200	830.250	1697.590	15/1/2020	25/1/2020	2	11	11
MEBR5916	FG-COLOUR	PD63000217	FS63-000364	TWIN-L	21HM200-3	SO63000325	50	50.001	49	1.001	3.1	2.002	Pass	-18.953	-935.630	-28.550	0.000	-964.180	17/1/2020	25/1/2020	2	9	11
PXRD20491	FG-PM	PD63000218	FS63-000376	OT	21HM200-2	SO63000340	43	43	41.8	1.2	3.1	2.791	Pass	4.731	380.350	-332.450	1174.810	1222.710	15/1/2020	25/1/2020	3	11	11
MEBK21302	FG-BLACK	PD63000232	FS63-000404	TWIN-L	21HM75-1	SO63000375	52	52	51.7	0.3	3.1	0.577	Pass	-32.218	-504.090	-45.300	-1356.240	-1905.630	22/1/2020	25/1/2020	2	4	10
MEWH2073	TRADE-WH	PD63000244	FS63-000416	TWIN-L	21HM200-4	SO63000379	"1,010.00"	"1,010.00"	987.8	22.2	1	2.198	Fail	-24.976	-28799.480	-2430.240	2673.730	-28555.990	17/1/2020	25/1/2020	3	9	9
MEPK4729	FG-COLOUR	PD63000245	FS63-000417	TWIN-L	21HM200-1	SO63000384	50.7	53.327	51.7	1.627	3.1	3.051	Pass	19.649	1479.130	283.630	52.210	1814.970	17/1/2020	25/1/2020	3	9	9
MEBR11754-1	TEST	PD63000253	FS63-000460	TWIN-L	21HM200-3	SO63000431	"1,000.00"	"1,000.00"	"1,000.00"	0	1	0	Pass	2.246	2232.620	796.400	0.000	3029.020	20/1/2020	25/1/2020	2	6	6
MEBR11754-1	TEST	PD63000254	FS63-000461	TWIN-L	21HM200-3	SO63000431	"1,000.00"	"1,000.00"	"1,000.00"	0	1	0	Pass	0.365	255.740	236.470	0.000	492.210	20/1/2020	25/1/2020	2	6	6
MPBL19150	FG-COLOUR	PD63000262	FS63-000472	TWIN-L	21HM200-2	SO63000440	100	100	98.8	1.2	2.1	1.2	Pass	-0.193	-107.980	90.230	0.000	-17.750	21/1/2020	25/1/2020	3	5	5
SRNYP16	SRM	PD63000292	FS63-000521	OT	25PM500-2	Manual	150	150	150	0	2.1	0	Pass	-0.759	-65.380	-56.910	0.000	-122.290	23/1/2020	25/1/2020	1	3	3
MVBR13207	FG-COLOUR	PD63000022	FS63-000024	TWIN-L	21HM200-2	SO63000010	105.2	122.419	114.6	7.819	2.1	6.387	Fail	123.591	16826.840	2209.120	2573.960	21609.920	9/1/2020	27/1/2020	3	19	22
MPGN21456	FG-COLOUR	PD63000083	FS63-000132	TWIN-L	Packer_1	SO63000074	28.9	28.9	28.9	0	3.1	0	Pass	3.731	0.000	0.000	234.540	234.540	24/1/2020	27/1/2020	3	4	21
MEGN21338	FG-COLOUR	PD63000105	FS63-000196	TWIN-L	21HM75-1	SO63000151	27	28.335	27.2	1.135	3.1	4.006	Fail	91.821	1620.740	216.130	446.640	2283.510	9/1/2020	27/1/2020	7	19	19
MNBL18756	FG-COLOUR	PD63000132	FS63-000261	TWIN-L	21HM200-3	SO63000250	50.9	50.964	48.4	2.564	3.1	5.031	Fail	118.254	8289.180	781.900	449.300	9520.380	13/1/2020	27/1/2020	1	15	15
MTBK21452	FG-BLACK	PD63000161	FS63-000297	TWIN-L	21HM200-3	SO63000277	"2,010.00"	"2,010.00"	"2,000.00"	10	1	0.498	Pass	-3.519	-4880.060	1289.130	-1652.830	-5243.760	20/1/2020	27/1/2020	3	8	15
MTBK21452	FG-BLACK	PD63000162	FS63-000298	TWIN-L	21HM200-3	SO63000277	"2,010.00"	"2,010.00"	"2,000.00"	10	1	0.498	Pass	-7.737	-10616.230	741.350	-1652.830	-11527.710	20/1/2020	27/1/2020	1	8	15
MTBK21452	FG-BLACK	PD63000163	FS63-000299	TWIN-L	21HM200-3	SO63000277	"1,600.00"	"1,600.00"	"1,547.70"	52.3	1	3.269	Fail	-0.965	-3154.460	3321.300	-1279.050	-1112.210	22/1/2020	27/1/2020	1	6	15
MEOR18309	FG-COLOUR	PD63000183	FS63-000319	TWIN-L	21HM75-1	SO63000292	26.8	28.454	26.9	1.554	3.1	5.461	Fail	44.953	2095.580	298.800	1349.070	3743.450	14/1/2020	27/1/2020	1	14	14
MERD18513	FG-COLOUR	PD63000206	FS63-000352	TWIN-L	21TM500-2	SO63000289	230	230	228	2	2.1	0.87	Pass	-10.485	-4844.840	-25829.750	25666.620	-5007.970	22/1/2020	27/1/2020	3	6	14
MPPK8928	FG-COLOUR	PD63000211	FS63-000357	TWIN-L	21HM75-1	SO63000315	26.5	28.589	27.2	1.389	3.1	4.859	Fail	65.136	3923.500	451.300	405.610	4780.410	15/1/2020	27/1/2020	1	13	14
MSYE21477	FG-COLOUR	PD63000216	FS63-000363	TWIN-L	Packer_1	SO63000301	15.4	15.4	15.4	0	3.1	0	Pass	4.612	0.000	0.000	138.150	138.150	24/1/2020	27/1/2020	3	4	13
MEVL12810	FG-COLOUR	PD63000219	FS63-000377	TWIN-L	21HM200-3	SO63000341	28.5	30.601	29.4	1.201	3.1	3.925	Fail	95.093	4484.720	99.280	615.590	5199.590	15/1/2020	27/1/2020	1	13	13
MERD19890	FG-COLOUR	PD63000221	FS63-000379	TWIN-L	21HM75-1	SO63000342	26.4	26.4	26	0.4	3.1	1.515	Pass	123.087	2953.990	236.890	145.980	3336.860	15/1/2020	27/1/2020	3	13	13
MSYE21477-1	TEST	PD63000222	FS63-000392	TWIN-L	21HM75-1	SO63000329	16	16	15.4	0.6	3.1	3.75	Fail	72.085	1862.060	311.310	0.000	2173.370	16/1/2020	27/1/2020	4	12	12
MEWH13305	TRADE-WH	PD63000248	FS63-000420	TE75	21HM200-5	SO63000186	"5,300.00"	"5,075.00"	"5,037.10"	37.9	0.5	0.747	Fail	-0.694	6753.050	-10007.680	113.970	-3140.660	21/1/2020	27/1/2020	3	7	11
MEGN21443	FG-COLOUR	PD63000264	FS63-000475	TWIN-L	21HM200-2	SO63000443	75	78.94	78.2	0.74	2.1	0.937	Pass	12.062	1421.890	-19.440	282.690	1685.140	21/1/2020	27/1/2020	1	7	7
MEGN21443	FG-COLOUR	PD63000266	FS63-000477	TWIN-L	21HM200-2	SO63000444	100	105.261	105.2	0.061	2.1	0.058	Pass	8.479	1336.670	-187.710	444.730	1593.690	21/1/2020	27/1/2020	3	7	7
MEYE17117	FG-COLOUR	PD63000267	FS63-000478	TWIN-L	21HM200-2	SO63000444	50	50	50	0	3.1	0	Pass	0.62	52.510	-13.280	13.270	52.500	21/1/2020	27/1/2020	3	7	7
CHGY13784	FG-CO	PD62004052	FS62-006754	TE75	21HM200-4	SO62008128	"1,000.00"	"1,000.00"	856	144	1	14.4	Fail	59.211	20957.460	9520.690	0.000	30478.150	8/1/2020	28/1/2020	1	21	42
GENA21159	FG-GD-SER	PD63000069	FS63-000100	OT	25PM500-1	SO63000032	"7,500.00"	"7,500.00"	"7,500.00"	0	0.5	0	Pass	22.595	1067.870	929.450	75.000	2072.320	17/1/2020	28/1/2020	2	12	22
AELM17833	FG-AD	PD63000135	FS63-000266	TWIN-L	21HM200-1	SO63000255	"1,010.00"	"1,010.00"	"1,009.30"	0.7	1	0.069	Pass	28.715	-35581.070	138395.150	-35285.130	67528.950	20/1/2020	28/1/2020	4	9	16
AELM17833	FG-AD	PD63000136	FS63-000267	TWIN-L	21HM200-1	SO63000255	255	255.001	232.9	22.101	2.1	8.667	Fail	45.588	-5499.290	38380.590	-8142.180	24739.120	20/1/2020	28/1/2020	1	9	16
SRPPHP11	SRM	PD63000147	FS63-000282	OT	25PM500-2	Manual	"5,000.00"	"5,000.00"	"5,000.00"	0	0.5	0	Pass	0.7	37.230	1120.370	0.000	1157.600	14/1/2020	28/1/2020	1	15	16
MEBR11754	FG-COLOUR	PD63000158	FS63-000295	TWIN-L	Packer_1	SO63000272	799.7	799.7	799.7	0	1	0	Pass	0.603	0.000	0.000	648.700	648.700	27/1/2020	28/1/2020	1	2	16
MEVL25	FG-COLOUR	PD63000209	FS63-000355	TWIN-L	21TM500-1	SO63000309	305	317.616	315.1	2.516	2.1	0.792	Pass	4.797	662.750	-4263.100	6903.240	3302.890	15/1/2020	28/1/2020	1	14	15
MEBR17521	FG-COLOUR	PD63000212	FS63-000358	TWIN-L	21TM500-1	SO63000319	507.4	518.628	516	2.628	2.1	0.507	Pass	1.054	-523.280	-974.070	2361.620	864.270	22/1/2020	28/1/2020	2	7	15
MGRD456	FG-COLOUR	PD63000231	FS63-000403	TWIN-L	21HM200-3	SO63000364	510.5	510.501	507.5	3.001	2.1	0.588	Pass	-16.104	-16692.460	-324.160	99.560	-16917.060	22/1/2020	28/1/2020	2	7	13
MSWH21407	FG-COLOUR	PD63000251	FS63-000430	TWIN-L	21HM200-4	SO63000407	505	505.001	501	4.001	2.1	0.792	Pass	-32.697	-17290.340	-1633.330	0.000	-18923.670	20/1/2020	28/1/2020	1	9	9
MEBR11754-1	TEST	PD63000255	FS63-000462	TWIN-L	21HM200-5	SO63000431	812.04	812.04	799.7	12.34	1	1.52	Fail	1.754	384.220	1507.470	0.000	1891.690	23/1/2020	28/1/2020	2	6	9
PXGN19192	FG-PM	PD63000257	FS63-000467	OT	21HM200-1	SO63000435	205.6	205.6	202.7	2.9	2.1	1.411	Pass	23.544	1978.880	366.800	311.830	2657.510	21/1/2020	28/1/2020	1	8	8
MTBL18992	FG-COLOUR	PD63000268	FS63-000479	TWIN-L	21HM75-1	SO63000445	26.401	26.401	25.7	0.701	3.1	2.655	Pass	50.884	1224.540	59.000	256.690	1540.230	23/1/2020	28/1/2020	1	6	8
MEGN17522	FG-COLOUR	PD63000273	FS63-000490	TWIN-L	21HM75-1	SO63000450	25	25.158	25	0.158	3.1	0.628	Pass	217.909	4940.470	557.800	0.000	5498.270	21/1/2020	28/1/2020	2	8	8
MTBL2024	FG-COLOUR	PD63000285	FS63-000514	TWIN-L	21HM75-1	SO63000468	26.8	26.8	25.9	0.9	3.1	3.358	Fail	40.603	1301.490	115.680	292.660	1709.830	23/1/2020	28/1/2020	1	6	7
MPBL746	FG-COLOUR	PD63000290	FS63-000519	TWIN-L	21HM200-5	SO63000483	202.8	202.8	202	0.8	2.1	0.394	Pass	-28.518	-5024.900	-502.480	256.210	-5271.170	23/1/2020	28/1/2020	2	6	6
MNWH21368	FG-COL-WH	PD63000293	FS63-000522	TWIN-L	21HM200-4	SO63000492	105	105	103.3	1.7	2.1	1.619	Pass	39.843	5983.900	776.230	0.000	6760.130	24/1/2020	28/1/2020	2	5	6
CHGY13784	FG-CO	PD63000068	FS63-000099	TE75	21HM200-4	SO63000084	"1,000.00"	"1,000.00"	997	3	1	0.3	Pass	1.284	664.990	105.060	0.000	770.050	8/1/2020	29/1/2020	2	22	23
GENA21159	FG-GD-SER	PD63000070	FS63-000101	OT	25PM500-1	SO63000032	"6,998.17"	"6,998.17"	"6,998.10"	0.07	0.5	0.001	Pass	27.042	1199.880	1044.340	69.980	2314.200	20/1/2020	29/1/2020	1	10	23
CHGY13784	FG-CO	PD63000098	FS63-000155	TE75	21HM200-4	SO63000136	"1,000.00"	"1,000.00"	999	1	1	0.1	Pass	0.808	514.690	-29.020	0.000	485.670	8/1/2020	29/1/2020	2	22	22
CEBL21474	FG-CO	PD63000129	FS63-000255	TWIN-L	Packer_1	SO63000238	45.9	45.9	45.9	0	3.1	0	Pass	2.903	0.000	0.000	118.900	118.900	28/1/2020	29/1/2020	1	2	17
CEBL21474-1	TEST	PD63000130	FS63-000256	TWIN-L	21HM200-1	SO63000238	52	52.001	45.9	6.101	3.1	11.732	Fail	85.457	2940.630	465.020	81.530	3487.180	16/1/2020	29/1/2020	1	14	17
SE65WH01A	SWH	PD63000152	FS63-000287	TE75	21HM200-4	Manual	"10,000.00"	"9,780.00"	"9,778.00"	2	0.5	0.02	Pass	-17.522	7930.300	-6588.030	-145495.940	-144153.670	21/1/2020	29/1/2020	2	9	17
CHGY13784	FG-CO	PD63000166	FS63-000302	TE75	21HM200-4	SO63000284	600	600	512	88	1	14.667	Fail	14.894	199.980	4385.690	0.000	4585.670	13/1/2020	29/1/2020	2	17	17
CHGY13784	FG-CO	PD63000167	FS63-000303	TE75	21HM200-4	SO63000284	"2,900.00"	"2,900.00"	"2,881.00"	19	0.5	0.655	Fail	-0.068	-493.570	375.320	0.000	-118.250	13/1/2020	29/1/2020	2	17	17
MEYE17651	FG-COLOUR	PD63000210	FS63-000356	TWIN-L	21TM500-1	SO63000309	355	393.409	388.7	4.709	2.1	1.197	Pass	-1.061	-2438.560	-1525.000	3467.700	-495.860	15/1/2020	29/1/2020	2	15	16
MHWH16226	TRADE-C-WH	PD63000228	FS63-000400	TE75	21HM200-4	SO63000333	"5,300.00"	"5,250.00"	"5,240.00"	10	0.5	0.19	Pass	-20.981	-37340.110	902.460	-45920.000	-82357.650	23/1/2020	29/1/2020	2	7	14
MTBR8122	FG-COLOUR	PD63000256	FS63-000466	TWIN-L	21HM200-3	SO63000415	502.7	502.7	497.7	5	2.1	0.995	Pass	-3.71	-4490.820	-1220.420	728.620	-4982.620	21/1/2020	29/1/2020	2	9	9
MPRD19152	FG-COLOUR	PD63000261	FS63-000471	TWIN-L	21HM200-2	SO63000440	50	52.461	51	1.461	3.1	2.785	Pass	28.448	-378.980	1004.820	1837.380	2463.220	21/1/2020	29/1/2020	1	9	9
SXOB03A	SCOL	PD63000270	FS63-000482	OT	21HM200-1	Manual	75	75	74.7	0.3	2.1	0.4	Pass	3.733	356.410	142.760	0.000	499.170	24/1/2020	29/1/2020	1	6	9
MTGN8180	FG-COLOUR	PD63000274	FS63-000491	TWIN -L	21HM75-1	SO63000442	26.401	26.401	25.7	0.701	3.1	2.655	Pass	27.908	852.510	46.370	86.870	985.750	24/1/2020	29/1/2020	2	6	9
