Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MEGN17628	FG-COLOUR	PD62004111	FS62-006851	TWIN-L	21TM500-2	SO62008252	305.6	363.956	360.9	3.056	2.1	0.84	Pass	21.688	9765.720	-1555.260	2372.450	10582.910	24/12/2019	14/1/2020	2	22	22
SRPTP01	SRM	PD63000027	FS63-000029	OT	25PM500-3	Manual	"5,500.00"	"5,500.00"	"5,500.00"	0	0.5	0	Pass	-18.041	-38064.140	379.370	0.000	-37684.770	7/1/2020	14/1/2020	1	8	9
MEYE18619	FG-COLOUR	PD63000034	FS63-000059	TWIN-L	21HM200-1	SO63000012	50	52.606	51.2	1.406	3.1	2.673	Pass	61.57	6249.360	536.500	0.000	6785.860	6/1/2020	14/1/2020	2	9	9
GENA21159	FG-GD-SER	PD63000063	FS63-000094	OT	25PM500-1	SO63000032	"7,500.00"	"7,500.00"	"7,500.00"	0	0.5	0	Pass	39.484	1896.020	1650.250	75.000	3621.270	7/1/2020	14/1/2020	1	8	8
PXBL18672	FG-PM	PD63000075	FS63-000124	OT	21HM200-1	SO63000073	52	52	51.4	0.6	3.1	1.154	Pass	35.436	742.300	105.740	104.610	952.650	7/1/2020	14/1/2020	2	8	8
PXGN20224	FG-PM	PD63000084	FS63-000133	OT	21HM200-1	SO63000073	33	33	32.7	0.3	3.1	0.909	Pass	12.974	309.960	-67.010	94.290	337.240	8/1/2020	14/1/2020	1	7	8
PXGY19674	FG-PM	PD63000085	FS63-000134	OT	21HM75-1	SO63000073	21.9	21.9	21.7	0.2	3.1	0.913	Pass	20.038	247.780	-33.850	126.770	340.700	8/1/2020	14/1/2020	2	7	8
MTBK19960	FG-BLACK	PD62004088	FS62-006806	TWIN-L	21HM200-1	SO62008194	"1,067.06"	"1,067.06"	"1,056.00"	11.063	1	1.037	Fail	-5.294	-12753.040	-6285.200	11370.370	-7667.870	6/1/2020	15/1/2020	3	10	28
MVGY12973	FG-COLOUR	PD63000009	FS63-000009	TWIN-L	21HM200-3	SO62008358	52	55.627	53.5	2.127	3.1	3.824	Fail	111.305	5935.610	963.030	-7.920	6890.720	8/1/2020	15/1/2020	2	8	10
MVGY13131	FG-COLOUR	PD63000020	FS63-000022	TWIN-L	21HM200-3	SO63000010	204.1	204.1	202.1	2	2.1	0.98	Pass	-2.122	-1047.860	71.300	477.340	-499.220	9/1/2020	15/1/2020	2	7	10
