APPA17259,FG-AD,PD63002040,FS63-003672,TWIN-L,21HM500-1,SO63004032,"3,200.00","3,200.00","3,200.00",0,0.5,0,Pass,-12.271,"-24,955.84","-5,013.21",0,"-29,969.04",10/7/2020,20/7/2020,4,11,18
APPA17259,FG-AD,PD63002069,FS63-003713,TWIN-L,21HM200-4,SO63004088,"2,015.00","2,015.00","1,981.00",34,1,1.687,Fail,-2.697,"-4,786.88","-1,580.38","2,289.70","-4,077.57",14/7/2020,21/7/2020,2,8,14
APUV16880,FG-AD,PD63001111,FS63-001956,TWIN-L,21HM200-5,SO63002096,"1,010.00","1,010.00","1,010.00",0,1,0,Pass,-24.881,"-22,758.95","-7,533.15",0,"-30,292.10",20/6/2020,3/7/2020,1,14,99
APUV16880,FG-AD,PD63001112,FS63-001957,TWIN-L,21HM200-5,SO63002096,"1,210.00","1,210.00","1,199.00",11,1,0.909,Pass,-23.954,"-26,731.87","-8,438.10",550,"-34,619.97",20/6/2020,3/7/2020,1,14,99
APUV17511,FG-AD,PD63001901,FS63-003435,TE75,21HM200-5,SO63003694,"5,217.00","5,084.00","5,000.00",84,0.5,1.652,Fail,4.005,"5,438.50","21,661.36","2,514.34","29,614.20",26/6/2020,13/7/2020,6,18,27
APUV19427,FG-AD,PD63001905,FS63-003443,TWIN-L,21HM200-4,SO63003692,255,255,251.3,3.7,2.1,1.451,Pass,6.08,"1,237.77",700.188,0,"1,937.96",19/6/2020,14/7/2020,1,26,27
APUV19427,FG-AD,PD63002042,FS63-003674,TWIN-L,21HM200-4,SO63004046,255.5,255.5,252.3,3.2,2.1,1.252,Pass,3.086,471.059,72.657,443.953,987.669,10/7/2020,21/7/2020,2,12,19
APUV19427,FG-AD,PD63002152,FS63-003860,TWIN-L,21HM200-5,SO63004311,510,510,506,4,2.1,0.784,Pass,3.258,"1,382.46",708.62,0,"2,091.08",21/7/2020,29/7/2020,6,9,13
APUV21089,FG-AD,PD63000433,FS63-000749,TWIN-L,21HM200-5,SO63000837,"1,021.90","1,021.90","1,015.20",6.7,1,0.656,Pass,-3.805,"-4,755.46","-2,142.54","2,495.74","-4,402.26",30/6/2020,7/7/2020,1,8,153
APUV21089,FG-AD,PD63000460,FS63-000794,TWIN-L,21HM200-5,SO63000899,"1,015.00","1,015.00","1,005.00",10,1,0.985,Pass,-7.303,"-7,542.60",-821.149,0,"-8,363.75",30/6/2020,8/7/2020,2,9,150
